tweet_id,@,tweet,date
1306491288850706433,@Austin7397,It hurts. It hurts a lot. But I'll keep it to myself so it doesn't hurt anyone else.  #sad #depressed #alone #lonely #quotes #heartbroken,Sep 17
1306827821625552897,@InveigleMagazi1,How To Cope with Depression inveiglemagazine.com/2017/08/how-to… #depressed #TrendingTopics #Health pic.twitter.com/XxrmGWaI3S,Sep 17
1307095401883893764,@Zee_Kamboh_25,#Depressed...? Earphones..! Volume up..! And ignore the world.💯,23h
1306679415548641281,@I_Wicked1,Why won't you stop me.....  #depressed,Sep 17
1306503153936859136,@DoctorsDanger1,Are you #depressed? Check your #gut_health. us9.campaign-archive.com/?u=62e1b42ab31…,Sep 17
1306760408745811968,@PHMIWTKM,Some times you just gotta walk away #hurt #depressed,Sep 17
1306585614880514048,@MufasaScreams,Life..... Has really been kicking me down......  Trying my hardest to stay strong..... Pray for me....  #Depressed 🥺,Sep 17
1306960154773004289,@afh_una,"Today, once again I look empty.  #depression #depressed #DepressionIsReal",Sep 18
1304530244137709568,@thehaikufairy,when i am happy i am clothed in joy depressed i am bare to woe  #haikuchallenge @baffled (bare) #haiku #micropoetry #poetry #poem #depressed,Sep 11
1306109497044279296,@chrisaybu,"If you arent a #alcoholic, #depressed, or  #anxiety prone you can’t be my friend @stephenszczerba",Sep 15
1305605939555438592,@NoWayOutToDie,I don’t Understand this world              #depressed #sad,Sep 14
1306342179422507011,@MercyTheFoxV2,Today is not a good day... #depressed,Sep 16
1306660532007690242,@JaydenLow11,Only I would sit in my bath sobbing because I’ve broken it #depressed,Sep 17
1306805187802050565,@kat_woman13,I’m #bored and #depressed and feel like I’m going #crazy...,Sep 17
1304834431065026561,@jerry11888,bit.ly/3kgkfHn What does depression mean 🔝 #depressed #depression #moterwayincident pic.twitter.com/cy49blvMUe,Sep 12
1306969635149869058,@ManjuDu16267678,Need #pizza I am feeling so #lonly and  #depressed,Sep 18
1304930155845038081,@DustMillie,Just writing some thoughts. Feeling very emotional right now.  #songwritter #musiciangirl #singer #randomstuff #depressed #listeningtomelaniemartinez #crystallilyband #everythingfortheband instagram.com/p/CFDjZBGD0sV/…,Sep 12
1305061198891642881,@heartbrokenzee,Will he ever realize wht he lost ... ?? ..💔#sadquotes #wordsofzee #zee #heartbroken #unspokenwords #depressed #sadlove #untoldlove #alone #Lonely #hurt #misshim,Sep 13
1305061948359192577,@heartbrokenzee,Y on earth em I even waiting for his text ... #sadquotes #wordsofzee #zee #heartbroken #unspokenwords #depressed #sadlove #untoldlove #alone #Lonely #hurt #misshim #needmyking,Sep 13
1306809309565657088,@anonymouzz_shiz,Am I the only one who always thinks about on whats gonna happen if I killed myself?? #mentalillness #depressed,Sep 17
1306908313158914050,@Jdorn94,Being #depressed makes me depressed,Sep 18
1304602033878700034,@XsaaX9,Why does this keeps happening again and again ?? #depressed,Sep 11
1306656484332392448,@ihitthebottom,Finally back. Hopefully not for long. #depressed,Sep 17
1305915318527696896,@thekookconnor,I be #depressed and living my best life😂😂😂 my dudes I’m confused,Sep 15
1306627188012146689,@ChrisKitcheyan,"Uh, oh. I'm writing music again. You know what that mean? #depressed",Sep 17
1306639725848145923,@PHMIWTKM,Fuck them. Be happy                               #Happiness #depressed,Sep 17
1304614718317801473,@ilykeef,where are the #depressed people at?,Sep 11
1305874316937097216,@I_afaqahmad,"- If you ever feel #depressed, text me, saath mil kar hongay 🙂 🚬",Sep 15
1304840604480761856,@heartbrokenzee,You are never going to know about my love fr u .. #sadquotes #wordsofzee #zee #heartbroken #unspokenwords #depressed #sadlove #untoldlove,Sep 12
1305747143358124032,@roundmanner,do your think twitter   #Bullying #bully #CyberBullying #depressed pic.twitter.com/Ckpxdev1U1,Sep 14
1306499034723610624,@broken_vip,𝗗𝗼𝗻’𝘁 𝘁𝗲𝗹𝗹 𝗺𝗲 𝘁𝗵𝗮𝘁 𝗯𝗲𝗶𝗻𝗴 #𝗱𝗲𝗽𝗿𝗲𝘀𝘀𝗲𝗱 𝗶𝘀 𝗮 “𝗰𝗵𝗼𝗶𝗰𝗲 “ 𝗯𝗲𝗰𝗮𝘂𝘀𝗲 𝘄𝗵𝗲𝗻 𝗶 𝘄𝗮𝘀 𝗮 𝗸𝗶𝗱 𝗶 𝘄𝗮𝘀𝗻’𝘁 𝗴𝗼𝗶𝗻𝗴 𝗮𝗿𝗼𝘂𝗻𝗱 𝗽𝗲𝗼𝗽𝗹𝗲 𝗮𝗻𝗱 𝘁𝗲𝗹𝗹𝗶𝗻𝗴 𝘁𝗵𝗲𝗺 𝘄𝗵𝗲𝗻 𝗶 𝗴𝗿𝗼𝘄 𝘂𝗽 𝗶 𝘄𝗮𝗻𝗻𝗮 𝗯𝗲 𝗱𝗲𝗽𝗿𝗲𝘀𝘀𝗲𝗱,Sep 17
