tweet_id,@,tweet,date
1.2117E+18,@jamesrachal3,"With the #NewYear it is a time for reflection. Many will have fond remembrance of the new year, it can be difficult for others.Be aware of those that may be #depressed or thoughts of #suicide. #SuicidePrevention takes a team.  @creightonc @AtriumHealth @DrDonnica pic.twitter.com/2WgFZePvZc",30-Dec
1.21174E+18,@DrKamalPTI,I start hating Every PTI minister Except Asad Umar. No one is sincere with PM IK. Everyone one is just Enjoying the Voluptuous life and taking the advantage of their ministery and thanks to Hareem Shah who shows us their real face. @ImranKhanPTI #Frustrated #Depressed #LosingHope,30-Dec
1.21152E+18,@Evenglare,Megaman 3 coming to a close about to start Megaman 4. Ibky I’ve person has been In chat :( . Come say hi and take a shot with me . Twitch.tv/evenglare #SmallStreamersConnect #smallstreamer #depressed #RETROGAMING,29-Dec
1.21128E+18,@Jim_Used_ToDrum,"When I was a #depressed ""wet"" #alcoholic I used to spend 12 or even 18 hours a day in #bed 😴💤 Since I got #sober & started making #music I am so engrossed in what I am doing, I can often get by with 4 or 5 hours #sleep a night",29-Dec
1.21153E+18,@DrRebellious,"Being Asked Why r U #Depressed?  Life is #Beautiful, is Like Asking Why U Have #Asthma When there is so much #AIR around. #depressionfeelslike",29-Dec
1.21138E+18,@HisImageCoach,"I never thought I would live in an era when people deny simple and easy #truths like #procreation. #Science and #biology undisputably support this truth.Sadly, truth is no longer important, which is demolishing #humanity. This is the most #confused and #depressed generation.",29-Dec
1.21106E+18,@AvalonCatArt,Feelin #depressed rn. pic.twitter.com/mQQeqg9inz,28-Dec
1.21086E+18,@AnaglogsDaughtr,#SaturdayMorning  Depression wont leave me alone Trying to spoil the last few days of 2019 but do you know what? It can keep trying but it wont. Too much good National Hunt racing on for anything to spoil it. I will beat it eventually. #Depressed #ItsGoodToTalk #ItsOkNotToBeOk,28-Dec
1.21093E+18,@VoiceDepression,The Giving Voice to Depression Team wishes you a peaceful completion of this decade. soundcloud.com/givingvoicetod… #depression #podcast #mentalhealth #depressed #anxiety #SaturdayThoughts #SickNotWeak #KeepTalkingMH #peersupport #whatswrongwithme @MHAofWisconsin pic.twitter.com/cQPP87HyzY,28-Dec
1.21097E+18,@SpoonieMomBlog,"It’s a hard time of year for a lot of folks. I’ve been in the throes of #holidayseason #depression, off and on, in my lifetime. Check on your people &/or share the National Suicide Prevention Lifeline 1-800-273-8255.   Passing it on might save someone's life. #depressed #suicide pic.twitter.com/AO5M1NsxEX",28-Dec
1.21095E+18,@evenhoe,My Snapchat memory of a year ago was be watching the teaser trailer on my tv ... can’t relate #depressed pic.twitter.com/4X18vFePn2,28-Dec
1.21053E+18,@MaryLSchmidt,"#99CENTS ""Similarities slapping me in the face at every turn, at times I was wondering if I was reading an autobiography of my own life."" #ASMSG bit.ly/WhenAngelsFly #BookBoost #bookplugs #IAN1 #memoir #Romance @NewAppleAwards #DramaAlert #bookclub #CoPromosRT #depressed pic.twitter.com/5WnOoMKGTM",27-Dec
1.21022E+18,@silkentint,I got new spiky septum jewelry and my 10 year old sister said I look like the emo girls from tik tok that say #depressed why do kids have the best judgement? I can’t even be offended bc it’s true pic.twitter.com/qRyyByVih8,26-Dec
1.21015E+18,@TheStarCalledB,Way i feel rn i might have to walk up the street to the DP in the rain and cop some #depressed twitter.com/victhrashher/s…,26-Dec
